"id","submitdate","lastpage","startlanguage","startdate","datestamp","random","Course[CPlan]","Course[CFam]","Course[CJust]","Marche[MPlan]","Marche[MFam]","Marche[MJust]","age","Genre","CSP","CSP[other]","Diplome","Diplome[other]","CapEco","EnvCS[SQ001]","EnvPSubj[SQ001]","EnvPObj","Engagement","autre"
"382","2025-01-19 21:27:09","4","fr","2025-01-19 21:20:39","2025-01-19 21:27:09","1","","","","83","66","66","45","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","","53","Grande ville : de 50 000 à 200 000 habitants","4","J ai besoin de faire du sport en groupe (association) et qu il y ait 1 entente agréable pour me donner le courage d aller faire du sport"
"383","2025-01-19 21:45:07","4","fr","2025-01-19 21:42:11","2025-01-19 21:45:07","1","","","","75","76","100","44","Homme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","30 000 - 60 000€","","100","Grande ville : de 50 000 à 200 000 habitants","3",""
"384","2025-01-19 21:49:21","4","fr","2025-01-19 21:46:07","2025-01-19 21:49:21","0","58","25","100","","","","24","Femme","Etudiant(e)s","","Bac + 4 (Maîtrise)","","- de 15 000€","61","82","Petite ville : de 5 000 à 20 000 habitants","7",""
"386","2025-01-19 21:57:23","4","fr","2025-01-19 21:52:47","2025-01-19 21:57:23","1","","","","65","75","60","35","Homme","Autre","Chômage","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","","90","Métropole : plus de 200 000 habitants","7","Pratique sportive dans un club 
Marche / déplacements à pied 
"
"387","2025-01-19 22:16:44","4","fr","2025-01-19 22:11:44","2025-01-19 22:16:44","1","","","","89","67","74","49","Femme","Cadres et professions intellectuelles supérieures","","Bac + 2 (DEUG, BTS, DUT, DEUST)","","30 000 - 60 000€","77","74","Bourg : de 2 000 à 5 000 habitants","4",""
"389","2025-01-20 00:19:38","4","fr","2025-01-20 00:14:50","2025-01-20 00:19:38","0","31","22","78","","","","53","Homme","Artisans / Artisanes, commerçants / commerçantes et chefs / cheffes d’entreprise","","Bac + 2 (DEUG, BTS, DUT, DEUST)","","15 000 - 30 000€","41","74","Ville moyenne : de 20 000 à 50 000 habitants","1",""
"393","2025-01-20 07:56:53","4","fr","2025-01-20 07:52:04","2025-01-20 07:56:53","1","","","","65","75","85","56","Homme","Cadres et professions intellectuelles supérieures","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","30 000 - 60 000€","","","Village : moins de 2 000 habitants","7","Je suis un ancien compétiteur et ancien professionnel du monde du sport. Les activités physiques ont toujours été présentes dans ma vie."
"394","2025-01-20 08:36:35","4","fr","2025-01-20 08:34:59","2025-01-20 08:36:35","1","","","","100","100","100","50","Femme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","30 000 - 60 000€","85","","Bourg : de 2 000 à 5 000 habitants","3",""
"395","2025-01-20 08:51:46","4","fr","2025-01-20 08:49:28","2025-01-20 08:51:46","1","","","","80","75","100","25","Femme","Professions intermédiaires","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","40","70","Métropole : plus de 200 000 habitants","7","Pratique régulière de la course à pied - marche nordique - randonnée et salle de sport "
"396","2025-01-20 08:58:51","4","fr","2025-01-20 08:52:41","2025-01-20 08:58:51","0","50","50","50","","","","62","Homme","Professions intermédiaires","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","30 000 - 60 000€","","","Village : moins de 2 000 habitants","6",""
"397","2025-01-20 09:15:06","4","fr","2025-01-20 09:07:07","2025-01-20 09:15:06","0","60","70","30","","","","72","Homme","Retraité(e)s","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","40","100","Village : moins de 2 000 habitants","5","Je pratique des activités physiques avant tout pour le maintien de ma bonne santé, essentiellement le jogging et la marche."
"398","2025-01-20 09:10:38","4","fr","2025-01-20 09:07:56","2025-01-20 09:10:38","1","","","","42","75","97","34","Homme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","30 000 - 60 000€","57","94","Métropole : plus de 200 000 habitants","2",""
"399","2025-01-20 09:12:57","4","fr","2025-01-20 09:08:46","2025-01-20 09:12:57","1","","","","84","100","66","36","Femme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","60 000 - 90 000€","83","82","Petite ville : de 5 000 à 20 000 habitants","3","Dans le monde rural où tout se fait en voiture, ce n'est pas simple de pratiquer la marche ou le vélo en plus"
"400","2025-01-20 09:13:06","4","fr","2025-01-20 09:08:46","2025-01-20 09:13:06","0","0","5","13","","","","47","Homme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","65","28","Petite ville : de 5 000 à 20 000 habitants","1","Je passe ma vie assis : en reunion, au bureau ou en voiture...je n'ai que 47 ans mais je ne me sens de moins en moins en forme, et ça va très vite."
"401","2025-01-20 09:13:40","4","fr","2025-01-20 09:11:28","2025-01-20 09:13:40","1","","","","85","86","85","43","Femme","Employé(e)s","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","15 000 - 30 000€","100","100","Bourg : de 2 000 à 5 000 habitants","3",""
"402","2025-01-20 09:19:43","4","fr","2025-01-20 09:17:32","2025-01-20 09:19:43","1","","","","100","100","100","24","Femme","Employé(e)s","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","66","24","Grande ville : de 50 000 à 200 000 habitants","7",""
"404","2025-01-20 10:00:06","4","fr","2025-01-20 09:57:49","2025-01-20 10:00:06","1","","","","50","100","100","45","Homme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","30 000 - 60 000€","81","","Village : moins de 2 000 habitants","14",""
"405","2025-01-20 11:14:40","4","fr","2025-01-20 11:11:13","2025-01-20 11:14:40","1","","","","75","16","70","28","Homme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","80","91","Métropole : plus de 200 000 habitants","4",""
